,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
107,heat,7,0,270.25000000000006,,,increasing 0,540.5000000000001,2.0,949.0,4,1250.4,2020-01-13 15:57:00,1,27,"['200204-19180-390', '200204-19180-391', '200204-19180-395', '200204-19180-396', '200204-19180-394', '200204-19180-393', '200204-19180-392']",2020-01-13 15:18:00,709.9,2020-01-13 15:20:00,815.5,2020-01-13 14:13:00,,2020-01-13 17:18:00,1250.4,,633.4,,
108,open,,0,,,,,,,5.399999998509884,4,,,,,,2020-01-14 09:38:00,1254.2,,,,,2020-01-14 09:44:00,962.6,,,,
109,reheat,,0,,,,,,,55.20000000111759,4,,,,1,,2020-01-14 09:44:00,962.6,,,,,2020-01-14 09:58:00,,,,,
110,hold,,0,,,,,,,21.40000000037253,4,,,,,,2020-01-14 09:58:00,1269.4,,,,,2020-01-14 10:06:00,1255.0,,,1261.011111111111,
111,open,,0,,,,,,,14.299999998882413,4,,,,,,2020-01-14 10:06:00,1255.0,,,,,2020-01-14 10:15:00,971.9,,,,
112,reheat,,0,,,,,,,76.59999999962747,4,,,,1,,2020-01-14 10:15:00,971.9,,,,,2020-01-14 10:36:00,,,,,
113,open,,0,,,,,,,16.0,4,,,,,,2020-01-14 10:36:00,1266.6,,,,,2020-01-14 10:47:00,886.2,,,,
114,reheat,,0,,,,,,,76.20000000111759,4,,,,1,,2020-01-14 10:47:00,886.2,,,,,2020-01-14 11:02:00,,,,,
115,hold,,0,,,,,,,9.0,4,,,,,,2020-01-14 11:02:00,1253.6,,,,,2020-01-14 11:05:00,1254.5,,,1255.025,
116,open,,0,,,,,,,21.40000000037253,4,,,,,,2020-01-14 11:05:00,1254.5,,,,,2020-01-14 11:15:00,1042.2,,,,
117,reheat,,0,,,,,,,79.79999999888241,4,,,,0,,2020-01-14 11:15:00,1042.2,,,,,2020-01-14 11:38:00,,,,,
118,hold,,0,,,,,,,172.90000000037253,4,,,,,,2020-01-14 11:38:00,1250.6,,,,,2020-01-14 12:57:00,1253.0,,,1250.9450000000002,
119,open,,0,,,,,,,10.699999999254942,4,,,,,,2020-01-14 12:57:00,1253.0,,,,,2020-01-14 13:08:00,835.5,,,,
120,reheat,,0,,,,,,,90.20000000111759,4,,,,1,,2020-01-14 13:08:00,835.5,,,,,2020-01-14 13:25:00,,,,,
121,open,,0,,,,,,,19.59999999962747,4,,,,,,2020-01-14 13:27:00,1254.2,,,,,2020-01-14 13:36:00,993.6,,,,
122,reheat,,0,,,,,,,83.29999999888241,4,,,,1,,2020-01-14 13:36:00,993.6,,,,,2020-01-14 13:59:00,,,,,
