,에너지,시간(총),시간(0제외),시작온도,종료온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생,강종,강종_ALLOY,강종_CARBON,강종_SUS
50,2440.8,15480.0,15060.0,361.2,1270.5,0,0.0,0,9,70110.0,9140,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,70110.0,9140,0,0.0,0,0,0.0,0,9,70110.0,9140,155580.0,0,누락없음,4,2020-04-06,야간,2020-04-06 08:11:00,월,안겹침,이상없음,7,0,C,주말,0,CARBON,0,1,0
51,161.8,1140.0,1080.0,958.9,1255.1,0,0.0,0,4,66500.0,22930,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,66500.0,22930,0,0.0,0,2,20640.0,10320,2,45860.0,22930,42060.0,0,누락없음,4,2020-04-07,야간,2020-04-07 06:51:00,화,안겹침,이상없음,9,0,C,평일,0,CARBON,0,1,0
52,254.1,2280.0,2100.0,640.9,1262.8,7,103950.0,14850,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,103950.0,14850,0,0.0,0,0,0.0,0,7,103950.0,14850,2220.0,0,누락없음,2,2020-04-07,야간,2020-04-06 23:47:00,월,안겹침,이상없음,8,0,A,주말,0,ALLOY,1,0,0
53,1185.1,8400.0,8340.0,151.8,1206.2,7,103950.0,14850,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,103950.0,14850,0,0.0,0,0,0.0,0,7,103950.0,14850,164820.0,0,누락없음,3,2020-04-07,주간,2020-04-06 13:35:00,월,안겹침,이상없음,8,0,A,주말,0,ALLOY,1,0,0
54,2851.9,15000.0,14880.0,535.9,1247.9,0,0.0,0,6,109140.0,26970,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,109140.0,26970,0,0.0,0,0,0.0,0,6,109140.0,26970,11520.0,0,누락없음,6,2020-04-08,야간,2020-04-08 05:39:00,수,안겹침,이상없음,4,0,C,평일,0,CARBON,0,1,0
55,821.8,4860.0,4380.0,759.5,1255.5,7,94360.0,13480,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,94360.0,13480,0,0.0,0,0,0.0,0,7,94360.0,13480,1920.0,0,누락없음,4,2020-04-08,야간,2020-04-08 06:52:00,수,안겹침,이상없음,4,0,A,평일,0,ALLOY,1,0,0
56,1752.2,9180.0,9000.0,625.7,1244.6,0,0.0,0,6,73680.0,14800,1,9200.0,9200,0,0.0,0,0,0.0,0,0,0.0,0,7,82880.0,14800,0,0.0,0,0,0.0,0,7,82880.0,14800,1500.0,0,누락없음,6,2020-04-09,야간,2020-04-09 06:20:00,목,겹침,이상없음,6,2,CS,평일,0,SUS,0,0,1
57,1606.2,12480.0,12240.0,794.7,1257.6,8,76432.0,9554,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,76432.0,9554,0,0.0,0,0,0.0,0,8,76432.0,9554,1380.0,0,누락없음,5,2020-04-09,주간,2020-04-08 19:21:00,수,안겹침,이상없음,8,0,A,평일,0,ALLOY,1,0,0
58,600.5,3840.0,3720.0,738.6,1240.5,0,0.0,0,2,17200.0,8600,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,33200.0,8600,0,0.0,0,2,16000.0,8000,2,17200.0,8600,1140.0,0,강종누락,2,2020-04-09,야간,2020-04-09 02:10:00,목,안겹침,이상없음,5,0,C,평일,0,CARBON,0,1,0
59,874.0,5160.0,5040.0,756.6,1250.5,0,0.0,0,4,40680.0,10800,4,24000.0,7220,0,0.0,0,0,0.0,0,0,0.0,0,8,64680.0,10800,0,0.0,0,0,0.0,0,8,64680.0,10800,1860.0,0,누락없음,3,2020-04-09,주간,2020-04-08 15:16:00,수,안겹침,이상없음,9,0,CS,평일,0,CARBON,0,1,0
60,1579.5,8640.0,8520.0,742.6,1251.5,0,0.0,0,1,24000.0,24000,4,30600.0,7650,0,0.0,0,0,0.0,0,0,0.0,0,5,54600.0,24000,0,0.0,0,1,24000.0,24000,4,30600.0,7650,780.0,0,누락없음,6,2020-04-10,야간,2020-04-10 07:26:00,금,안겹침,이상없음,7,0,CS,평일,0,CARBON,0,1,0
61,2323.9,17880.0,17160.0,634.8,1265.6,0,0.0,0,6,62040.0,15250,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,100990.0,15250,0,0.0,0,0,0.0,0,9,100990.0,15250,3240.0,0,강종누락,5,2020-04-10,주간,2020-04-09 16:47:00,목,안겹침,이상없음,8,0,C,평일,0,CARBON,0,1,0
62,1067.1,7320.0,7200.0,672.1,1248.3,2,20200.0,10100,6,52440.0,10120,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,72640.0,10120,0,0.0,0,0,0.0,0,8,72640.0,10120,7980.0,0,누락없음,3,2020-04-14,주간,2020-04-13 18:45:00,월,안겹침,이상없음,5,0,AC,주말,0,ALLOY,1,0,0
63,1109.1,6780.0,6720.0,589.2,1252.2,7,94360.0,13480,2,18430.0,9220,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,112790.0,13480,0,0.0,0,0,0.0,0,9,112790.0,13480,5100.0,0,누락없음,3,2020-04-15,주간,2020-04-14 19:39:00,화,안겹침,이상없음,8,0,AC,평일,0,ALLOY,1,0,0
64,291.8,2040.0,1980.0,802.6,1257.1,7,94360.0,13480,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,94360.0,13480,0,0.0,0,0,0.0,0,7,94360.0,13480,4440.0,0,누락없음,2,2020-04-15,야간,2020-04-15 02:34:00,수,겹침,이상없음,8,7,A,평일,0,ALLOY,1,0,0
65,710.4,4080.0,3960.0,666.1,1264.3,1,9200.0,9200,4,39680.0,10300,2,11300.0,6050,0,0.0,0,0,0.0,0,0,0.0,0,7,60180.0,10300,0,0.0,0,1,9200.0,9200,6,50980.0,10300,1860.0,0,누락없음,2,2020-04-16,야간,2020-04-16 06:18:00,목,안겹침,이상없음,7,0,ACS,평일,0,SUS,0,0,1
