,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부
51,6819.2,211800,204840,355.0,0,0,0,7,80010,11430,0,0,0,0,0,0,0,0,0,0,0,0,7,80010,11430,0,0,0,0,0,0,7,80010,11430,90240,0,누락없음,4,2019-07-22,야간,2019-07-20 7:32,토,안겹침,0,7,0,C,주말
52,1615.9,9120,9120,753.2,8,88000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88000,11000,0,0,0,0,0,0,8,88000,11000,1440,0,누락없음,4,2019-07-23,야간,2019-07-23 5:34,화,안겹침,0,7,0,A,평일
53,853.3,10500,10500,687.5,4,25110,6980,2,18720,9360,0,0,0,0,0,0,0,0,0,0,0,0,6,43830,9360,0,0,0,0,0,0,6,43830,9360,780,0,누락없음,1,2019-07-23,야간,2019-07-23 7:10,화,안겹침,0,8,0,AC,평일
54,952.2,14040,5820,690.5,8,78696,9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78696,9837,0,0,0,0,0,0,8,78696,9837,6900,1,누락없음,4,2019-07-24,야간,2019-07-24 4:13,수,겹침,0,8,2,A,평일
55,426.9,5340,5280,555.2,0,0,0,8,58960,7370,3,18120,6040,0,0,0,0,0,0,0,0,0,11,77080,7370,0,0,0,0,0,0,11,77080,7370,4500,0,누락없음,1,2019-07-24,주간,2019-07-23 19:03,화,안겹침,0,6,0,CS,평일
56,303.0,2220,2220,1024.7,6,96600,16100,0,0,0,0,0,0,0,0,0,1,19850,19850,0,0,0,7,116450,19850,1,19850,19850,0,0,0,7,116450,19850,18660,0,누락없음,3,2019-07-24,주간,2019-07-23 18:23,화,안겹침,0,13,0,AC,평일
57,799.1,4860,4800,724.8,0,0,0,5,49110,10130,0,0,0,0,0,0,1,22100,22100,0,0,0,6,71210,22100,1,22100,22100,0,0,0,6,71210,22100,1560,1,누락없음,4,2019-07-25,야간,2019-07-25 7:36,목,안겹침,0,8,0,C,평일
58,1169.8,6660,6600,837.8,6,81144,13524,8,58960,7370,0,0,0,0,0,0,0,0,0,0,0,0,14,140104,13524,0,0,0,0,0,0,14,140104,13524,5220,0,누락없음,3,2019-07-26,주간,2019-07-25 18:29,목,안겹침,0,7,0,AC,평일
59,201.7,3240,3180,1272.8,0,0,0,3,28850,10130,0,0,0,1,8900,8900,0,0,0,0,0,0,4,37750,10130,1,8900,8900,0,0,0,4,37750,10130,60,1,누락없음,4,2019-07-26,야간,2019-07-26 8:31,금,겹침,0,6,3,AC,평일
60,968.7,12000,11940,606.5,0,0,0,8,58960,7370,2,12380,6340,0,0,0,0,0,0,0,0,0,10,71340,7370,0,0,0,0,0,0,10,71340,7370,3720,1,누락없음,1,2019-07-26,주간,2019-07-25 19:59,목,겹침,0,11,1,CS,평일
