,Type,cycle,drop_flag,in,out,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
149,hold,,0,,,43.5,,5,,,,,,2019-07-10 22:29:00,1283.6,,,,,2019-07-10 22:43:00,1270.8,,,1273.4999999999998,
150,open,,0,,,5.0,,5,,,,,,2019-07-10 22:43:00,1270.8,,,,,2019-07-10 22:46:00,990.2,,,,
151,reheat,,0,,,89.70000000111759,,5,,,,2,,2019-07-10 22:46:00,990.2,,,,,2019-07-10 23:04:00,,,,,
152,hold,,0,,,16.699999999254942,,5,,,,,,2019-07-10 23:04:00,1272.4,,,,,2019-07-10 23:09:00,1271.1,,,1271.9333333333334,
153,open,,0,,,5.099999999627471,,5,,,,,,2019-07-10 23:09:00,1271.1,,,,,2019-07-10 23:13:00,958.6,,,,
154,reheat,,0,,,109.60000000149012,,5,,,,1,,2019-07-10 23:13:00,958.6,,,,,2019-07-10 23:35:00,,,,,
155,hold,,0,,,13.299999998882413,,5,,,,,,2019-07-10 23:35:00,1270.3,,,,,2019-07-10 23:40:00,1272.1,,,1271.2833333333335,
156,open,,0,,,5.0,,5,,,,,,2019-07-10 23:40:00,1272.1,,,,,2019-07-10 23:44:00,969.4,,,,
157,reheat,,0,,,69.59999999962747,,5,,,,1,,2019-07-10 23:44:00,969.4,,,,,2019-07-10 23:55:00,,,,,
158,heat,7,1,,,1837.0,2101.0,5,1229.5,2019-07-11 06:52:00,1,66,[],2019-07-11 03:58:00,606.9,2019-07-11 03:55:00,547.6,2019-07-11 00:02:00,,2019-07-11 10:34:00,1229.5,,523.3,,
159,open,,0,,,3.300000000745058,,5,,,,,,2019-07-11 20:14:00,1269.9,,,,,2019-07-11 20:18:00,1040.0,,,,
160,reheat,,0,,,46.0,,5,,,,0,,2019-07-11 20:18:00,1040.0,,,,,2019-07-11 20:27:00,,,,,
161,hold,,0,,,14.900000000372529,,5,,,,,,2019-07-11 20:27:00,1273.0,,,,,2019-07-11 20:31:00,1274.5,,,1274.1399999999999,
162,open,,0,,,3.299999998882413,,5,,,,,,2019-07-11 20:31:00,1274.5,,,,,2019-07-11 20:35:00,953.6,,,,
163,reheat,,0,,,69.0,,5,,,,1,,2019-07-11 20:35:00,953.6,,,,,2019-07-11 20:46:00,,,,,
164,hold,,0,,,84.20000000111759,,5,,,,,,2019-07-11 20:46:00,1283.1,,,,,2019-07-11 21:03:00,1291.4,,,1227.1166666666668,
165,open,,0,,,13.299999998882413,,5,,,,,,2019-07-11 21:03:00,1291.4,,,,,2019-07-11 21:09:00,1021.1,,,,
166,reheat,,0,,,99.09999999962747,,5,,,,3,,2019-07-11 21:09:00,1021.1,,,,,2019-07-11 21:28:00,,,,,
167,hold,,0,,,23.300000000745058,,5,,,,,,2019-07-11 21:28:00,1272.2,,,,,2019-07-11 21:35:00,1271.1,,,1271.575,
168,open,,0,,,5.0,,5,,,,,,2019-07-11 21:35:00,1271.1,,,,,2019-07-11 21:39:00,1072.0,,,,
