,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
135,open,,0,,,,,,,28.200000001117587,,2,,,,,,2019-07-16 10:41:00,1288.3,,,,,2019-07-16 10:51:00,1023.5,,,,
136,reheat,,0,,,,,,,18.199999999254942,,2,,,,1,,2019-07-16 10:51:00,1023.5,,,,,2019-07-16 10:57:00,,,,,
137,open,,0,,,,,,,1.599999999627471,,2,,,,,,2019-07-16 11:01:00,1217.9,,,,,2019-07-16 11:03:00,969.1,,,,
138,reheat,,0,,,,,,,67.60000000149012,,2,,,,1,,2019-07-16 11:03:00,969.1,,,,,2019-07-16 11:17:00,,,,,
139,hold,,0,,,,,,,99.19999999925494,,2,,,,,,2019-07-16 11:17:00,1287.7,,,,,2019-07-16 11:42:00,1280.7,,,1280.8038461538463,
140,open,,0,,,,,,,26.40000000037253,,2,,,,,,2019-07-16 11:42:00,1280.7,,,,,2019-07-16 11:53:00,961.8,,,,
141,reheat,,0,,,,,,,70.79999999888241,,2,,,,1,,2019-07-16 11:53:00,961.8,,,,,2019-07-16 12:08:00,,,,,
142,hold,,0,,,,,,,162.2000000011176,,2,,,,,,2019-07-16 12:08:00,1294.8,,,,,2019-07-16 13:01:00,1273.5,,,1276.2925925925924,
143,open,,0,,,,,,,0.0,,2,,,,,,2019-07-16 13:01:00,1273.5,,,,,2019-07-16 13:03:00,1025.7,,,,
144,reheat,,0,,,,,,,29.799999998882413,,2,,,,0,,2019-07-16 13:03:00,1025.7,,,,,2019-07-16 13:11:00,,,,,
145,open,,0,,,,,,,1.6000000014901161,,2,,,,,,2019-07-16 13:11:00,1272.9,,,,,2019-07-16 13:14:00,905.2,,,,
