순번,프레스명,작업일자,주/야간,수주번호,시리얼번호,할당가열로,장입가열로,수주치수,사내재질,단조작업내역,비고,강종,수량,투입중량,투입수량,원단위가스량
4802,P8,2020-06-25,야간,200616-15226-004,001,14,가열로14호기,700.00 X 419.00 X 575.00,TW F22,"745 X 200 X 620
45/219/45","P8 예열
Φ800 R/B",ALLOY,0,1954,1,29.22
4803,P8,2020-06-25,야간,200616-15226-005,001,14,가열로14호기,700.00 X 419.00 X 575.00,TW F22,"745 X 200 X 620
45/219/45","P8 예열
Φ800 R/B",ALLOY,0,1954,1,29.22
4804,P8,2020-06-25,야간,200610-19197-116,"001,002",14,가열로14호기,2784.00 X 2243.00 X 155.00,TWS355,"1302*450*350
23/17/20","SLAB
히트확인",CARBON,0,3151,2,47.12
4805,P8,2020-06-25,야간,200610-19197-119,"001,002",14,가열로14호기,3805.00 X 3183.00 X 175.00,TWS355,"1547*450*445
25/25/25","SLAB
히트확인",CARBON,0,5790,2,86.59
4806,P8,2020-06-25,야간,200610-19197-136,"001,002",14,가열로14호기,1797.00 X 1218.00 X 175.00,TWS355,"1274*450*265
20/20/20","SLAB
히트확인",CARBON,0,2244,2,33.56
4807,P8,2020-06-25,야간,200610-19197-164,"001,002",14,가열로14호기,2985.00 X 2403.00 X 165.00,TWS355,"1389*450*365
20/20/20","SLAB
히트확인",CARBON,0,3823,2,57.17
4808,P8,2020-06-25,야간,200610-19197-209,"001,002",14,가열로14호기,2023.00 X 1524.00 X 115.00,TWS355,"1164*450*235
20/20/20","SLAB
히트확인",CARBON,0,1591,2,23.79
4809,P8,2020-06-25,야간,200610-19197-213,"001,002",14,가열로14호기,1742.00 X 1124.00 X 105.00,TWS355,"1216*450*195
20/20/20","SLAB
히트확인",CARBON,0,1453,2,21.73
4810,P8,2020-06-25,야간,P15 펀치,001,14,가열로14호기,D750 X 1300,TW S45C,"800 X 1350
50/50","P8 예열
COG BAR",,0,5322,1,79.59
4811,P8,2020-06-25,야간,SUS 압탕 코깅,"001,002,003",14,가열로14호기,COGGING,SUS,"D600 X L
★재질마킹할것★","압탕
투입",,0,3000,3,44.86
4812,P15,2020-06-25,주간,190815-15111-002,"1,2","19,18,13",가열로18호기,"745.00 X 0.00 X 12007.00
",SF490V,투입완료  시방서 참고,,CARBON,2,55100,2,22.37
4813,P15,2020-06-25,주간,200508-99010-008,1,"19,18,13",가열로19호기,"2600.00 X 0.00 X 450.00
",SKT4,2차작업  COG   온도 : 1220℃,,ALLOY,1,29850,1,33.55
4814,P15,2020-06-25,주간,200508-99010-007,1,"19,18,13",가열로19호기,"2500.00 X 0.00 X 600.00
",SKT4,2차작업  COG   온도 : 1220℃,,ALLOY,1,36600,1,41.14
4815,P15,2020-06-25,주간,200508-99101-005,1,"19,18,13",가열로19호기,"2500.00 X 610.00 X 600.00
",SKT4,2차작업  COG   온도 : 1220℃,,,1,37600,1,42.26
4816,P15,2020-06-25,주간,200415-70190-004,2,"19,18,13",가열로19호기,"4529.00 X 0.00 X 125.00
",F11,"6/25  06시 입고 예정(열괴)  COG
6/26 주간작업분",,ALLOY,1,38600,1,43.39
4817,P15,2020-06-25,주간,200415-70190-001,5,"19,18,13",가열로13호기,"5080.00 X 4531.00 X 1115.00
",F11,"3,4차작업(우마작업)",13호기,ALLOY,1,56280,1,107
4818,P15,2020-06-25,야간,200415-70190-003,2,"06,17,20",가열로17호기,"5080.00 X 4531.00 X 1115.00
",F11,"6/25  06시 입고 예정(열괴)  COG
마지막 작업 요청",,ALLOY,1,66600,1,66.97
4819,P15,2020-06-25,야간,200528-17035-001,1,"06,17,20",가열로17호기,"1780.00 X 926.20 X 1600.00
",SF490V,코깅바 사용  도면참고,,CARBON,1,31100,1,31.27
4820,P15,2020-06-25,야간,200528-15200-005,1,"06,17,20",가열로6호기,"1914.00 X 0.00 X 425.00
",A266MGr2,"380T  사용소재 통보  1,2차작업
flat die 마무리",6호기,CARBON,1,11650,1,86.15
4821,P15,2020-06-25,야간,200311-15088-002,1,"06,17,20",가열로17호기,"2185.00 X 1100.00 X 1888.00
",SF490V,"코깅바 사용 장입만 실시
6/26 주간작업분",,CARBON,1,56350,1,56.66
4822,P15,2020-06-25,야간,200528-15200-003,1,"06,17,20",가열로6호기,"1789.00 X 0.00 X 457.00
",A266MGr2,"380T  사용소재 통보  1,2차작업
flat die 마무리",6호기,CARBON,1,10935,1,80.86
4823,P15,2020-06-25,야간,200528-15200-004,1,"06,17,20",가열로6호기,"1789.00 X 0.00 X 457.00
",A266MGr2,"380T  사용소재 통보  1,2차작업
flat die 마무리",6호기,CARBON,1,10935,1,80.86
4824,P15,2020-06-25,야간,200417-19151-006,2,"06,17,20",가열로6호기,"4820.00 X 4368.80 X 493.00
",F304H,3차작업(우마 작업)   첫작업,6호기,SUS 304,1,17970,1,132.89
4825,P15,2020-06-25,야간,200417-19151-002,2,"06,17,20",가열로6호기,"4250.00 X 3784.60 X 470.00
",F304H,3차작업(우마 작업)   첫작업,6호기,SUS 304,1,15200,1,112.4
4826,P15,2020-06-25,야간,200415-70190-004,1,"06,17,20",가열로17호기,"4529.00 X 0.00 X 125.00
",F11,코깅바 사용  1차작업,,ALLOY,1,30140,1,30.31
4827,P15,2020-06-25,야간,180725-98752-002,"1,2,3","06,17,20",가열로20호기,"2300.00 X 2038.00 X 815.00
",SCM440,"1/3 RING 펴기  온도 : 950~1000℃
170829-98752-015 사용",20호기,ALLOY,3,3100,3,24.33
4828,P15,2020-06-25,야간,180725-98752-003,"1,2,3","06,17,20",가열로20호기,"2560.00 X 2282.00 X 815.00
",SCM440,"1/3 RING 펴기  온도 : 950~1000℃
170829-98752-004 사용",20호기,ALLOY,3,3100,3,24.33
4829,P15,2020-06-25,야간,180725-98752-004,"1,2,3","06,17,20",가열로20호기,"2560.00 X 2292.00 X 815.00
",SCM440,"1/3 RING 펴기  온도 : 950~1000℃
170829-98752-003 사용",20호기,ALLOY,3,3100,3,24.33
4830,P15,2020-06-25,야간,200415-70190-003,1,"06,17,20",가열로20호기,"5080.00 X 4531.00 X 1115.00
",F11,"코깅바 사용  6/24 주간투입
6/26 주간작업분",20호기,ALLOY,1,56280,1,441.79
4831,P5,2020-06-26,주간,200521-12161-002,001,"01,05",가열로5호기,"620.00 X 0.00 X 1955.00
",TW SF490V M1,S/N:001 시방서참고 LOWER PINTLE,"6/24 P15야
COGBAR",CARBON,1,7710,1,89.93
4832,P5,2020-06-26,주간,200612-99010-046,001,"01,05",가열로5호기,"500.00 X 0.00 X 6000.00
",42CrMo4,"S/N:001 시방서참고  판매용R/BAR TEST
외관데미지 특별관리","열처리예열
1000 R/B",ALLOY,1,11300,1,131.81
4833,P5,2020-06-26,주간,200612-99010-047,001,"01,05",가열로5호기,"500.00 X 0.00 X 6000.00
",42CrMo4,"S/N:001 시방서참고  판매용R/BAR TEST
외관데미지 특별관리","열처리예열
1000 R/B",ALLOY,1,11300,1,131.81
4834,P5,2020-06-26,주간,200612-99010-048,001,"01,05",가열로1호기,"500.00 X 0.00 X 6000.00
",42CrMo4,"S/N:001 시방서참고  판매용R/BAR TEST
외관데미지 특별관리","열처리예열
1000R/B잔재",ALLOY,1,11300,1,252.66
4835,P5,2020-06-26,주간,"200616-99010-008
1/2차작업",001,"01,05",가열로5호기,"1650.00 X 455.00 X 530.00
",S355NL,"60/205/60 S/N:001  380T SLAB사용.
1710 X 250 X 590","6/24 P5주
절단완료",CARBON,1,10770,1,125.63
4836,P5,2020-06-26,야간,200610-19197-039,"001,002","02,03",가열로3호기,"1878.00 X 965.00 X 175.00
",TWS355,"20/20/20 S/N:001-002
1550*450*245","6/22 P5야
미작업분",CARBON,2,3520,2,159.18
4837,P5,2020-06-26,야간,200610-19197-040,"001,002","02,03",가열로3호기,"1878.00 X 965.00 X 175.00
",TWS355,"20/20/20 S/N:001-002
1550*450*245","6/22 P5야
미작업분",CARBON,2,3520,2,159.18
4838,P5,2020-06-26,야간,200610-19197-041,"001,002","02,03",가열로3호기,"1878.00 X 965.00 X 175.00
",TWS355,"20/20/20 S/N:001-002
1550*450*245","6/22 P5야
미작업분",CARBON,2,3520,2,159.18
