,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,啊胶荤侩樊,啊凯肺 锅龋,啊凯肯丰 柯档,啊凯吝 付瘤阜 巩摧腮 矫埃,啊凯吝 巩凯覆 冉荐,滑矫埃,家犁 list,矫累矫埃,矫累柯档,角力 矫累矫埃,盔贰矫累痢柯档,捞傈 辆丰矫埃,累诀老磊,辆丰矫埃,辆丰柯档,林/具埃,弥辆 啊凯矫累 柯档,乞闭柯档,乞老/林富
70,hold,19.0,0.0,,,,,,,191.0999999996274,2,,,,,[''],2020-04-02 23:53:00,1281.3,,,,2020-04-02,2020-04-03 01:12:00,1274.2,具埃,,1273.46625,
71,hold,20.0,0.0,,,,,,,995.2000000011176,2,,,,,[''],2020-04-04 21:41:00,1275.1,,,,2020-04-04,2020-04-05 04:35:00,1276.4,具埃,,1273.2277108433736,
72,hold,21.0,0.0,,,,,,,244.7000000011176,2,,,,,[''],2020-04-06 15:38:00,1263.9,,,,2020-04-06,2020-04-06 16:42:00,1254.2,林埃,,1254.6646153846154,
73,hold,22.0,0.0,,,,,,,2907.699999999255,2,,,,,[''],2020-04-07 04:53:00,1255.8,,,,2020-04-07,2020-04-07 20:18:00,1255.7,具埃,,1253.3126349892011,
74,hold,23.0,0.0,,,,,,,1987.8000000007446,2,,,,,[''],2020-04-08 07:10:00,1265.9,,,,2020-04-08,2020-04-08 20:13:00,1254.9,具埃,,1253.116198979592,
75,hold,24.0,0.0,,,,,,,383.0,2,,,,,[''],2020-04-09 15:55:00,1283.6,,,,2020-04-09,2020-04-09 18:31:00,1274.0,具埃,,1273.896815286624,
76,hold,25.0,0.0,,,,,,,309.5,2,,,,,[''],2020-04-13 15:06:00,1268.9,,,,2020-04-13,2020-04-13 16:38:00,1255.7,具埃,,1234.090322580645,
77,hold,27.0,0.0,,,,,,,2528.3999999985103,2,,,,,[''],2020-04-15 07:36:00,1267.6,,,,2020-04-15,2020-04-15 20:11:00,1274.7,具埃,,1254.1642195767195,
78,hold,28.0,0.0,,,,,,,106.5,2,,,,,[''],2020-04-16 20:59:00,1290.8,,,,2020-04-16,2020-04-16 21:38:00,1275.1,具埃,,1277.2975,
79,hold,29.0,0.0,,,,,,,610.5999999996276,2,,,,,[''],2020-04-17 13:55:00,1263.2,,,,2020-04-17,2020-04-17 15:53:00,1254.5,具埃,,1254.1243697478992,
80,hold,30.0,0.0,,,,,,,268.0,2,,,,,[''],2020-04-20 23:50:00,1288.9,,,,2020-04-20,2020-04-21 01:21:00,1275.1,具埃,,1273.0293478260871,
81,hold,31.0,0.0,,,,,,,209.4000000003726,2,,,,,[''],2020-04-21 20:53:00,1292.6,,,,2020-04-21,2020-04-21 22:01:00,1275.0,具埃,,1275.8173913043474,
82,hold,32.0,0.0,,,,,,,186.7999999988824,2,,,,,[''],2020-04-22 23:36:00,1282.1,,,,2020-04-22,2020-04-23 00:57:00,1274.9,具埃,,1273.491463414634,
83,hold,33.0,0.0,,,,,,,552.6000000014901,2,,,,,[''],2020-04-24 20:43:00,1188.7,,,,2020-04-24,2020-04-24 23:37:00,1174.2,具埃,,1173.3182857142858,
84,hold,34.0,0.0,,,,,,,376.5,2,,,,,[''],2020-04-25 07:55:00,1185.6,,,,2020-04-25,2020-04-25 10:01:00,1177.3,林埃,,1173.6724409448814,
85,hold,36.0,0.0,,,,,,,246.80000000074506,2,,,,,[''],2020-04-27 07:41:00,1268.9,,,,2020-04-27,2020-04-27 09:09:00,1253.7,林埃,,1242.0898876404494,
