,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
102,reheat,4.0,0.0,,[],[],,,,17.5,,1,,,,1.0,[''],2020-03-10 05:20:00,1123.3,,,,2020-03-09,2020-03-10 05:29:00,,야간,,,
103,hold,4.0,0.0,,[],[],,,,17.600000000558797,,1,,,,,[''],2020-03-10 05:29:00,1266.7,,,,2020-03-09,2020-03-10 05:41:00,1265.7,야간,,1257.2923076923078,
104,open,4.0,0.0,,[],"['200221-19234-009', '200221-19234-009', '200221-19234-009']",,,,8.799999999813734,,1,,,,,"['가열로다이', '가열로다이', '200221-19234-009', '200221-19234-009']",2020-03-10 05:41:00,1265.7,,,,2020-03-09,2020-03-10 05:47:00,1114.1,야간,,,
105,reheat,4.0,0.0,,[],[],,,,14.0,,1,,,,0.0,"['가열로다이', '가열로다이', '200221-19234-009', '200221-19234-009']",2020-03-10 05:47:00,1114.1,,,,2020-03-09,2020-03-10 05:53:00,,야간,,,
106,heat,5.0,0.0,404.39999999999986,[],[],increasing 0,572.8999999999999,1.4166666666666667,376.8000000007452,78.6000000005588,1,1165.6,2020-03-10 07:48:00,5.0,6.0,"['200205-19922-001_3', '200116-19334-002_1', '200212-19004-001_1', '200212-19004-002_1', '200205-19922-001_2', '200205-19922-001_1']",2020-03-10 06:40:00,592.7,2020-03-10 06:40:00,592.7,2020-03-10 06:25:00,2020-03-10,2020-03-10 08:05:00,1165.6,야간,1086.8,,평일
107,open,5.0,0.0,,[],[],,,,3.5,,1,,,,,[''],2020-03-10 08:13:00,1175.0,,,,2020-03-10,2020-03-10 08:14:00,1119.3,야간,,,
108,reheat,5.0,0.0,,[],[],,,,69.70000000018626,,1,,,,0.0,[''],2020-03-10 08:14:00,1119.3,,,,2020-03-10,2020-03-10 08:29:00,,야간,,,
109,open,5.0,0.0,,[],[],,,,3.5,,1,,,,,[''],2020-03-10 08:35:00,1213.2,,,,2020-03-10,2020-03-10 08:36:00,1158.7,야간,,,
110,reheat,5.0,0.0,,[],[],,,,153.20000000018626,,1,,,,1.0,[''],2020-03-10 08:36:00,1158.7,,,,2020-03-10,2020-03-10 09:08:00,,야간,,,
111,hold,5.0,0.0,,[],[],,,,2020.7000000001865,,1,,,,,[''],2020-03-10 09:08:00,1253.6,,,,2020-03-10,2020-03-11 02:53:00,1262.5,야간,,1255.6554409005628,
