,°¡¿­·Î ¹øÈ£,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,in,out,cycle,ÆòÀÏ/ÁÖ¸»,drop_flag,gradient,part_types,temp diff,time diff,°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
95,1,2020-03-23 18:13:00,2020-03-23 18:16:00,8.699999999254942,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,1.0,1088.5,,,,,,,4,4.0,°ãÄ§
96,1,2020-03-23 18:20:00,2020-03-23 18:32:00,31.29999999981373,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,0.0,1056.2,,,,,,,4,4.0,°ãÄ§
97,1,2020-03-23 18:49:00,2020-03-23 18:56:00,15.599999999627473,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,1.0,1185.4,,,,,,,4,4.0,°ãÄ§
98,1,2020-03-23 20:26:00,2020-03-23 20:34:00,19.200000000186265,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,1.0,1087.2,,,,,,,4,4.0,°ãÄ§
99,1,2020-03-23 20:55:00,2020-03-23 21:04:00,24.39999999944121,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,1.0,966.2,,,,,,,4,4.0,°ãÄ§
100,1,2020-03-23 21:37:00,2020-03-23 21:46:00,21.0,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,1.0,1125.0,,,,,,,4,4.0,°ãÄ§
101,1,2020-03-23 22:33:00,2020-03-23 22:36:00,8.799999999813734,reheat,[''],2020-03-23,¾ß°£,,,10.0,,0.0,,,,,,,,0.0,1105.0,,,,,,,4,4.0,°ãÄ§
102,1,2020-03-24 05:45:00,2020-03-24 05:56:00,47.900000000372536,reheat,[''],2020-03-24,¾ß°£,,,11.0,,0.0,,,,,,,,0.0,1113.3,,,,,,,4,4.0,°ãÄ§
103,1,2020-03-24 06:01:00,2020-03-24 06:24:00,99.29999999981372,reheat,[''],2020-03-24,¾ß°£,,,11.0,,0.0,,,,,,,,1.0,1125.5,,,,,,,4,4.0,°ãÄ§
104,1,2020-03-24 06:45:00,2020-03-24 06:50:00,19.599999999627467,reheat,[''],2020-03-24,¾ß°£,,,11.0,,0.0,,,,,,,,0.0,1171.8,,,,,,,4,4.0,°ãÄ§
